,SLNo,Input Name,Value,Date,Time
554,555,Depth1,3.75,05/16/2019, 18:51:56
555,556,Depth1,3.77,05/16/2019, 18:52:52
556,557,Depth1,3.78,05/16/2019, 18:53:44
557,558,Depth1,3.79,05/16/2019, 18:54:48
558,559,Depth1,3.81,05/16/2019, 18:55:28
559,560,Depth1,3.82,05/16/2019, 18:56:48
560,561,Depth1,3.84,05/16/2019, 18:57:36
561,562,Depth1,3.85,05/16/2019, 18:58:44
562,563,Depth1,3.87,05/16/2019, 18:59:56
563,564,Depth1,3.89,05/16/2019, 19:00:56
564,565,Depth1,3.9,05/16/2019, 19:01:44
565,566,Depth1,3.92,05/16/2019, 19:02:52
566,567,Depth1,3.93,05/16/2019, 19:03:40
567,568,Depth1,3.95,05/16/2019, 19:04:40
568,569,Depth1,3.96,05/16/2019, 19:05:56
569,570,Depth1,3.97,05/16/2019, 19:06:44
570,571,Depth1,3.99,05/16/2019, 19:07:52
571,572,Depth1,4.0,05/16/2019, 19:08:52
572,573,Depth1,4.02,05/16/2019, 19:09:56
573,574,Depth1,4.03,05/16/2019, 19:10:52
574,575,Depth1,4.04,05/16/2019, 19:11:52
575,576,Depth1,4.06,05/16/2019, 19:12:32
576,577,Depth1,4.07,05/16/2019, 19:13:36
577,578,Depth1,4.09,05/16/2019, 19:14:56
578,579,Depth1,4.11,05/16/2019, 19:15:56
579,580,Depth1,4.11,05/16/2019, 19:16:56
580,581,Depth1,4.13,05/16/2019, 19:17:56
581,582,Depth1,4.15,05/16/2019, 19:18:48
582,583,Depth1,4.17,05/16/2019, 19:19:48
583,584,Depth1,4.18,05/16/2019, 19:20:52
584,585,Depth1,4.2,05/16/2019, 19:21:52
585,586,Depth1,4.21,05/16/2019, 19:22:56
586,587,Depth1,4.22,05/16/2019, 19:23:36
587,588,Depth1,4.23,05/16/2019, 19:24:16
588,589,Depth1,4.25,05/16/2019, 19:25:52
589,590,Depth1,4.25,05/16/2019, 19:26:12
590,591,Depth1,4.26,05/16/2019, 19:27:08
591,592,Depth1,4.27,05/16/2019, 19:28:12
592,593,Depth1,4.26,05/16/2019, 19:29:28
593,594,Depth1,4.26,05/16/2019, 19:30:32
594,595,Depth1,4.25,05/16/2019, 19:31:00
595,596,Depth1,4.25,05/16/2019, 19:32:24
596,597,Depth1,4.24,05/16/2019, 19:33:20
597,598,Depth1,4.24,05/16/2019, 19:34:44
598,599,Depth1,4.23,05/16/2019, 19:36:24
599,600,Depth1,4.22,05/16/2019, 19:39:04
600,601,Depth1,4.22,05/16/2019, 19:41:48
601,602,Depth1,4.22,05/16/2019, 19:43:36
602,603,Depth1,4.21,05/16/2019, 19:47:56
603,604,Depth1,4.21,05/16/2019, 19:51:04
604,605,Depth1,4.21,05/16/2019, 19:56:40
605,606,Depth1,4.2,05/16/2019, 19:57:04
606,607,Depth1,4.2,05/16/2019, 20:01:28
607,608,Depth1,4.19,05/16/2019, 20:08:16
608,609,Depth1,4.18,05/16/2019, 20:14:00
609,610,Depth1,4.18,05/16/2019, 20:21:32
610,611,Depth1,4.17,05/16/2019, 20:28:12
611,612,Depth1,4.17,05/16/2019, 20:34:40
612,613,Depth1,4.16,05/16/2019, 20:41:56
613,614,Depth1,4.16,05/16/2019, 20:48:20
614,615,Depth1,4.15,05/16/2019, 20:55:40
615,616,Depth1,4.15,05/16/2019, 21:02:40
616,617,Depth1,4.14,05/16/2019, 21:09:44
617,618,Depth1,4.14,05/16/2019, 21:10:40
618,619,Depth1,4.13,05/16/2019, 21:17:24
619,620,Depth1,4.13,05/16/2019, 21:26:40
620,621,Depth1,4.12,05/16/2019, 21:32:36
621,622,Depth1,4.12,05/16/2019, 21:38:12
622,623,Depth1,4.11,05/16/2019, 21:46:32
623,624,Depth1,4.11,05/16/2019, 21:54:12
624,625,Depth1,4.1,05/16/2019, 22:00:36
625,626,Depth1,4.09,05/16/2019, 22:07:28
626,627,Depth1,4.09,05/16/2019, 22:14:56
627,628,Depth1,4.09,05/16/2019, 22:18:00
628,629,Depth1,4.08,05/16/2019, 22:21:44
629,630,Depth1,4.08,05/16/2019, 22:22:48
630,631,Depth1,4.08,05/16/2019, 22:29:20
631,632,Depth1,4.07,05/16/2019, 22:35:48
632,633,Depth1,4.07,05/16/2019, 22:42:48
633,634,Depth1,4.06,05/16/2019, 22:46:20
634,635,Depth1,4.06,05/16/2019, 22:51:56
635,636,Depth1,4.05,05/16/2019, 22:57:40
636,637,Depth1,4.05,05/16/2019, 23:06:28
637,638,Depth1,4.04,05/16/2019, 23:12:00
638,639,Depth1,4.04,05/16/2019, 23:18:32
639,640,Depth1,4.03,05/16/2019, 23:26:56
640,641,Depth1,4.03,05/16/2019, 23:33:48
641,642,Depth1,4.02,05/16/2019, 23:40:00
642,643,Depth1,4.02,05/16/2019, 23:48:12
643,644,Depth1,4.02,05/16/2019, 23:49:04
644,645,Depth1,4.01,05/16/2019, 23:52:20
